INFO 2022-06-01 14:24:07,885 autoreload Watching for file changes with StatReloader
DEBUG 2022-06-01 14:24:07,886 autoreload Waiting for apps ready_event.
DEBUG 2022-06-01 14:24:07,971 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-06-01 14:24:08,007 autoreload Watching dir /mnt/c/Users/galatee/OpenClassroom/P12/epic_event with glob **/*.
DEBUG 2022-06-01 14:24:08,007 autoreload Watching dir /mnt/c/Users/galatee/OpenClassroom/P12/epic_event/templates with glob **/*.
DEBUG 2022-06-01 14:24:08,007 autoreload Watching dir /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2022-06-01 14:24:08,007 autoreload Watching dir /mnt/c/Users/galatee/OpenClassroom/P12/epic_event/locale with glob **/*.mo.
DEBUG 2022-06-01 14:24:08,008 autoreload Watching dir /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2022-06-01 14:24:08,008 autoreload Watching dir /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2022-06-01 14:24:08,008 autoreload Watching dir /mnt/c/Users/galatee/OpenClassroom/P12/.env/lib/python3.10/site-packages/rest_framework_simplejwt/token_blacklist/locale with glob **/*.mo.
DEBUG 2022-06-01 14:24:08,008 autoreload Watching dir /mnt/c/Users/galatee/OpenClassroom/P12/epic_event/users/locale with glob **/*.mo.
DEBUG 2022-06-01 14:24:08,008 autoreload Watching dir /mnt/c/Users/galatee/OpenClassroom/P12/epic_event/crm/locale with glob **/*.mo.
DEBUG 2022-06-01 14:24:08,143 utils (0.003) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
